country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",09-03-2025 20:00:00,28.611281,77.237738,OZONE,1,161,118
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",09-03-2025 20:00:00,28.636429,77.201067,PM2.5,53,304,159
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",09-03-2025 20:00:00,28.636429,77.201067,NH3,8,13,10
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",09-03-2025 20:00:00,28.636429,77.201067,CO,47,98,61
India,Delhi,Delhi,"Mundka, Delhi - DPCC",09-03-2025 20:00:00,28.684678,77.076574,PM2.5,57,368,252
India,Delhi,Delhi,"Mundka, Delhi - DPCC",09-03-2025 20:00:00,28.684678,77.076574,NO2,36,121,74
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",09-03-2025 20:00:00,28.60909,77.0325413,NO2,13,44,31
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",09-03-2025 20:00:00,23.002657,72.591912,PM10,92,444,165
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",09-03-2025 20:00:00,23.020509,72.579261,PM10,49,369,129
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",09-03-2025 20:00:00,23.020509,72.579261,CO,15,141,31
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",09-03-2025 20:00:00,23.016834,72.625775,NH3,2,18,5
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",09-03-2025 20:00:00,23.076793,72.627874,PM10,63,190,124
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",09-03-2025 20:00:00,23.076793,72.627874,NO2,7,92,45
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",09-03-2025 20:00:00,23.076793,72.627874,CO,28,114,30
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",09-03-2025 20:00:00,23.043070,72.562968,PM2.5,91,303,168
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",09-03-2025 20:00:00,23.043070,72.562968,NO2,5,230,38
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",09-03-2025 20:00:00,23.043070,72.562968,NH3,3,6,5
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",09-03-2025 20:00:00,28.422681,77.148944,CO,33,100,35
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",09-03-2025 20:00:00,28.4227,77.0667,NH3,6,10,8
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",09-03-2025 20:00:00,28.4227,77.0667,CO,34,118,48
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",09-03-2025 20:00:00,28.4275,77.1465,PM10,6,422,204
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",09-03-2025 20:00:00,28.3153,76.9143,PM10,55,145,83
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",09-03-2025 20:00:00,30.943887,76.801991,PM10,47,279,116
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",09-03-2025 20:00:00,30.943887,76.801991,OZONE,29,157,137
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",09-03-2025 20:00:00,28.530785,77.271255,PM10,113,408,236
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",09-03-2025 20:00:00,28.530785,77.271255,SO2,19,37,27
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",09-03-2025 20:00:00,28.623763,77.287209,PM2.5,57,388,202
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",09-03-2025 20:00:00,28.623763,77.287209,CO,24,84,36
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",09-03-2025 20:00:00,28.674045,77.131023,NO2,32,84,58
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",09-03-2025 20:00:00,28.674045,77.131023,CO,14,111,62
India,Delhi,Delhi,"Pusa, Delhi - DPCC",09-03-2025 20:00:00,28.639652,77.146275,PM2.5,58,301,119
India,Delhi,Delhi,"Pusa, Delhi - IMD",09-03-2025 20:00:00,28.636110,77.173332,PM10,NA,NA,NA
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",09-03-2025 20:00:00,23.043070,72.562968,CO,40,154,56
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",09-03-2025 20:00:00,23.043070,72.562968,OZONE,1,66,49
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",09-03-2025 20:00:00,21.613267,73.010555,CO,26,102,33
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",09-03-2025 20:00:00,23.163798,72.677768,CO,2,77,13
India,Gujarat,Surat,"Science Center, Surat - SMC",09-03-2025 20:00:00,21.170046,72.795405,PM2.5,13,82,38
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",09-03-2025 20:00:00,28.563262,77.186937,NO2,1,34,16
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",09-03-2025 20:00:00,28.6514781,77.1473105,NH3,10,12,11
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",09-03-2025 20:00:00,28.6514781,77.1473105,SO2,3,51,17
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",09-03-2025 20:00:00,28.5504249,77.2159377,PM10,136,410,248
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",09-03-2025 20:00:00,28.5504249,77.2159377,SO2,72,76,74
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",09-03-2025 20:00:00,20.362421,72.918013,PM2.5,NA,NA,NA
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",09-03-2025 20:00:00,22.969611,72.643500,PM10,82,252,150
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",09-03-2025 20:00:00,28.593883,76.270653,SO2,5,9,7
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",09-03-2025 20:00:00,28.593883,76.270653,OZONE,13,17,16
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",09-03-2025 20:00:00,28.570173,76.933762,PM2.5,58,315,158
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",09-03-2025 20:00:00,28.570173,76.933762,NO2,68,132,100
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",09-03-2025 20:00:00,28.567890,77.250515,PM10,107,398,222
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",09-03-2025 20:00:00,28.567890,77.250515,NO2,31,116,71
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",09-03-2025 20:00:00,28.567890,77.250515,NH3,7,10,8
India,Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",09-03-2025 20:00:00,23.210494,77.425409,NO2,3,104,37
India,Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",09-03-2025 20:00:00,23.210494,77.425409,SO2,3,12,8
India,Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",09-03-2025 20:00:00,23.210494,77.425409,CO,2,96,38
India,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",09-03-2025 20:00:00,23.233584,77.400574,NO2,25,91,46
India,Madhya Pradesh,Damoh,"Shrivastav Colony, Damoh - MPPCB",09-03-2025 20:00:00,23.81748678,79.446246,PM10,12,74,34
India,Madhya Pradesh,Damoh,"Shrivastav Colony, Damoh - MPPCB",09-03-2025 20:00:00,23.81748678,79.446246,CO,13,28,24
